Tissue	Organ
adipose tissue	Connective & Soft tissue
adrenal gland	Endocrine tissues
amygdala	Brain
appendix	Bone marrow & Lymphoid tissues
basal ganglia	Brain
bone marrow	Bone marrow & Lymphoid tissues
breast	Breast and female reproductive system
cerebellum	Brain
cerebral cortex	Brain
cervix	Breast and female reproductive system
choroid plexus	Brain
colon	Gastrointestinal tract
duodenum	Gastrointestinal tract
endometrium	Breast and female reproductive system
epididymis	Male reproductive system
esophagus	Proximal digestive tract
fallopian tube	Breast and female reproductive system
gallbladder	Liver & Gallbladder
heart muscle	Muscle tissues
hippocampal formation	Brain
hypothalamus	Brain
kidney	Kidney & Urinary bladder
liver	Liver & Gallbladder
lung	Respiratory system
lymph node	Bone marrow & Lymphoid tissues
midbrain	Brain
ovary	Breast and female reproductive system
pancreas	Pancreas
parathyroid gland	Endocrine tissues
pituitary gland	Endocrine tissues
placenta	Breast and female reproductive system
prostate	Male reproductive system
rectum	Gastrointestinal tract
retina	Eye
salivary gland	Proximal digestive tract
seminal vesicle	Male reproductive system
skeletal muscle	Muscle tissues
skin	Skin
small intestine	Gastrointestinal tract
smooth muscle	Muscle tissues
spinal cord	Brain
spleen	Bone marrow & Lymphoid tissues
stomach	Gastrointestinal tract
testis	Male reproductive system
thymus	Bone marrow & Lymphoid tissues
thyroid gland	Endocrine tissues
tongue	Proximal digestive tract
tonsil	Bone marrow & Lymphoid tissues
urinary bladder	Kidney & Urinary bladder
vagina	Breast and female reproductive system
