Chr	Start	End	CE_start	CE_end
chr1	1	248387328	121796048	126300487
chr2	1	242696752	92333543	94673023
chr3	1	201105948	91738002	92595822
chr4	1	193574945	49705154	50433557
chr5	1	182045439	47039134	47049663
chr6	1	172126628	58286706	61058390
chr7	1	160567428	60414372	63714499
chr8	1	146259331	44215832	44217695
chr9	1	150617247	44951775	47582595
chr10	1	134758134	39633793	41664589
chr11	1	135127769	51061948	54413484
chr12	1	133324548	34620838	37202490
chr13	1	113566686	15547593	17498291
chr14	1	101161492	10092112	12708411
chr15	1	99753195	16678794	17694466
chr16	1	96330374	35854528	37793352
chr17	1	84276897	23892419	27486939
chr18	1	80542538	15971633	20740248
chr19	1	61707364	25832447	29749519
chr20	1	66210255	26925852	29099655
chr21	1	45090682	10962853	11294002
chr22	1	51324926	12788180	15711065
chrX	1	154259566	57819763	60927195
chrY	1	62460029	10565750	10883085
