Chr	Start	End	CE_start	CE_end
chrX	1	27447821	1	100
chr2L	1	24266334	1	100
chr2R	1	25878355	1	100
chr3L	1	28948966	1	100
chr3R	1	34070894	1	100
chr4	1	1303249	1	100
chrJBEUIO010000054.1	1	565400	1	100
chrJBEUIO010000087.1	1	2830844	1	100
chrJBEUIO010000146.1	1	740929	1	100
chrJBEUIO010000153.1	1	254681	1	100
chrJBEUIO010000207.1	1	88824	1	100
chrJBEUIO010000088.1	1	264316	1	100
chrJBEUIO010000017.1	1	40177	1	100
chrJBEUIO010000170.1	1	28693	1	100
chrJBEUIO010000187.1	1	2582040	1	100
chrJBEUIO010000129.1	1	174041	1	100
chrJBEUIO010000176.1	1	129913	1	100
chrJBEUIO010000101.1	1	163438	1	100
chrJBEUIO010000161.1	1	67777	1	100
chrJBEUIO010000135.1	1	463258	1	100
chrJBEUIO010000181.1	1	150271	1	100
chrJBEUIO010000046.1	1	1321291	1	100
chrJBEUIO010000096.1	1	538375	1	100
chrJBEUIO010000130.1	1	33993	1	100
chrJBEUIO010000157.1	1	120835	1	100
chrJBEUIO010000120.1	1	46037	1	100
chrJBEUIO010000043.1	1	199384	1	100
chrJBEUIO010000059.1	1	184014	1	100
chrJBEUIO010000077.1	1	392731	1	100
chrJBEUIO010000121.1	1	242981	1	100
chrJBEUIO010000203.1	1	136167	1	100
chrJBEUIO010000047.1	1	120740	1	100
chrJBEUIO010000208.1	1	87864	1	100
chrJBEUIO010000163.1	1	107351	1	100
chrJBEUIO010000062.1	1	210619	1	100
chrJBEUIO010000183.1	1	163692	1	100
chrJBEUIO010000141.1	1	130304	1	100
chrJBEUIO010000109.1	1	173439	1	100
chrJBEUIO010000050.1	1	46919	1	100
chrJBEUIO010000139.1	1	919642	1	100
chrJBEUIO010000166.1	1	205994	1	100
chrJBEUIO010000058.1	1	38153	1	100
chrJBEUIO010000106.1	1	70705	1	100
chrJBEUIO010000209.1	1	32111	1	100
chrJBEUIO010000023.1	1	192041	1	100
chrJBEUIO010000099.1	1	150879	1	100
chrJBEUIO010000060.1	1	75523	1	100
chrJBEUIO010000025.1	1	26154	1	100
chrJBEUIO010000053.1	1	132781	1	100
chrJBEUIO010000068.1	1	66588	1	100
chrJBEUIO010000132.1	1	133565	1	100
chrJBEUIO010000123.1	1	52959	1	100
chrJBEUIO010000103.1	1	82599	1	100
chrJBEUIO010000154.1	1	38580	1	100
chrJBEUIO010000201.1	1	71151	1	100
chrJBEUIO010000107.1	1	48848	1	100
chrJBEUIO010000143.1	1	63296	1	100
chrJBEUIO010000105.1	1	30208	1	100
chrJBEUIO010000019.1	1	27310	1	100
chrJBEUIO010000118.1	1	40782	1	100
chrJBEUIO010000067.1	1	58049	1	100
chrJBEUIO010000084.1	1	25846	1	100
chrJBEUIO010000204.1	1	92375	1	100
chrJBEUIO010000090.1	1	33405	1	100
chrJBEUIO010000110.1	1	32481	1	100
chrJBEUIO010000082.1	1	39815	1	100
chrJBEUIO010000064.1	1	40968	1	100
chrJBEUIO010000057.1	1	25304	1	100
chrJBEUIO010000028.1	1	57795	1	100
chrJBEUIO010000013.1	1	74196	1	100
chrJBEUIO010000044.1	1	43815	1	100
chrJBEUIO010000018.1	1	43289	1	100
chrJBEUIO010000098.1	1	243219	1	100
chrJBEUIO010000051.1	1	697092	1	100
chrJBEUIO010000151.1	1	36856	1	100
chrJBEUIO010000198.1	1	476290	1	100
chrJBEUIO010000175.1	1	115946	1	100
chrJBEUIO010000145.1	1	478838	1	100
chrJBEUIO010000091.1	1	205001	1	100
chrJBEUIO010000039.1	1	80017	1	100
chrJBEUIO010000055.1	1	109619	1	100
chrJBEUIO010000179.1	1	61118	1	100
chrJBEUIO010000159.1	1	220174	1	100
chrJBEUIO010000097.1	1	311275	1	100
chrJBEUIO010000022.1	1	802127	1	100
chrJBEUIO010000027.1	1	93331	1	100
chrJBEUIO010000015.1	1	37053	1	100
chrJBEUIO010000089.1	1	106356	1	100
chrJBEUIO010000070.1	1	94164	1	100
chrJBEUIO010000177.1	1	22258	1	100
chrJBEUIO010000200.1	1	83285	1	100
chrJBEUIO010000026.1	1	463364	1	100
chrJBEUIO010000102.1	1	98192	1	100
chrJBEUIO010000180.1	1	63946	1	100
chrJBEUIO010000133.1	1	69505	1	100
chrJBEUIO010000164.1	1	187407	1	100
chrJBEUIO010000137.1	1	214323	1	100
chrJBEUIO010000080.1	1	32558	1	100
chrJBEUIO010000007.1	1	98855	1	100
chrJBEUIO010000032.1	1	43756	1	100
chrJBEUIO010000196.1	1	38094	1	100
chrJBEUIO010000073.1	1	89855	1	100
chrJBEUIO010000189.1	1	22430	1	100
chrJBEUIO010000167.1	1	82830	1	100
chrJBEUIO010000034.1	1	41708	1	100
chrJBEUIO010000094.1	1	58286	1	100
chrJBEUIO010000186.1	1	88788	1	100
chrJBEUIO010000033.1	1	182227	1	100
chrJBEUIO010000211.1	1	79201	1	100
